# Degré Fréquence
1 4842
32 178
14 599
2 4404
10 1077
106 8
489 1
689 1
404 1
24 241
3 3521
5 2410
23 266
29 167
21 320
19 384
7 1664
4 2733
6945 1
9 1258
302 2
7472 1
56 40
348 1
16 548
105 4
534 1
667 1
3320 1
148 8
299 2
1795 1
8 1376
18 407
39 101
331 1
12 811
13 720
1402 1
101 9
103 9
2343 1
145 5
167 5
208 1
22 298
77 20
66 34
967 1
1429 1
45 61
27 194
133 8
102 8
47 50
17 484
118 6
84 13
92 12
438 1
2948 1
11 920
15 559
55 43
297 2
75 27
70 31
635 1
138 4
87 14
38 92
73 18
31 165
292 1
94 20
96 16
72 22
108 5
2460 1
34 118
204 1
236 1
46 74
1055 1
1481 1
6 1932
1570 1
28 187
258 2
523 1
25 218
1239 1
1309 1
43 78
110 9
49 55
328 1
385 1
456 1
488 1
306 1
40 102
67 18
576 2
544 1
265 2
37 118
181 2
51 54
74 26
122 5
282 2
95 10
1343 1
1923 1
200 1
35 106
117 9
48 58
137 4
91 9
684 1
26 251
63 32
403 1
79 27
304 2
617 1
928 1
982 1
78 15
20 344
356 2
780 1
76 19
93 12
125 5
30 147
121 6
100 14
53 46
219 1
97 11
65 26
423 1
69 24
312 1
1265 1
217 1
127 9
147 7
413 1
262 1
247 1
172 2
744 1
378 1
209 3
71 25
554 1
109 6
182 3
41 74
291 1
59 41
52 46
58 42
61 33
164 3
82 18
1561 1
60 40
57 39
124 3
613 1
784 1
245 1
54 43
154 4
1507 1
294 2
904 1
62 31
252 1
176 4
933 1
81 20
136 7
941 1
203 5
257 2
98 10
99 11
510 1
129 8
259 1
126 7
529 1
146 6
286 1
33 129
224 1
284 1
1012 1
68 20
220 2
315 1
441 1
114 4
387 1
80 18
162 2
255 2
44 91
988 1
85 16
266 3
119 6
526 1
316 1
132 9
64 26
113 9
134 7
196 2
1285 1
365 1
175 1
135 5
155 4
111 6
36 99
289 1
104 16
42 72
193 5
141 4
120 6
86 17
186 5
158 3
202 2
165 3
171 2
112 8
239 2
242 1
116 10
400 2
350 1
253 3
90 13
156 2
747 1
388 1
607 1
168 3
250 1
248 1
351 1
128 3
218 2
303 2
130 7
345 1
207 3
144 6
327 1
174 3
665 1
261 1
340 2
237 2
140 4
501 1
178 3
107 9
267 2
226 1
215 2
50 50
83 11
187 2
142 5
241 1
347 1
604 1
277 1
188 3
153 4
367 1
230 1
151 6
213 1
491 1
177 2
205 1
131 4
170 2
197 3
372 2
264 2
115 7
729 1
518 1
159 2
431 1
88 19
223 1
201 2
139 5
157 1
288 2
211 2
161 1
323 1
249 1
152 2
296 1
766 1
589 1
519 1
210 1
234 2
89 16
143 4
349 1
318 1
493 1
478 1
308 1
163 3
398 1
225 1
160 3
467 1
179 4
233 2
309 1
336 1
305 1
469 1
575 1
190 1
166 1
320 1
359 1
123 5
150 2
185 1
275 1
194 1
189 2
325 1
380 1
290 1
149 1
191 1
228 1
212 1
199 1
183 1
263 1
366 1
416 1
238 1
1986 1
