# Degré Fréquence
14 35
680 1
531 1
732 1
135 2
27 7
67 5
141 1
127 1
53 7
264 1
37 7
31 38
322 1
117 4
10 101
8 83
61 5
9 63
7 119
97 2
1 106
25 53
52 20
226 1
110 11
121 2
116 3
113 2
58 1
138 3
130 1
162 2
132 1
125 1
111 2
152 4
154 2
109 5
114 3
112 1
151 3
123 3
129 3
122 2
107 4
72 11
115 2
126 1
20 39
3 92
18 34
40 9
38 10
35 7
34 5
273 2
22 6
5 108
6 95
91 2
41 20
197 2
131 2
32 8
69 4
82 1
71 14
12 53
54 5
24 31
36 3
30 11
89 1
402 1
17 105
269 1
105 2
120 1
102 1
104 1
654 1
155 3
23 28
15 18
29 33
33 59
59 2
44 4
75 4
4 163
11 66
79 3
2 87
100 1
51 20
26 5
16 45
13 61
42 6
19 25
57 12
96 2
95 1
63 6
301 1
56 7
86 2
139 1
76 2
60 6
92 3
119 1
93 1
94 1
62 7
66 4
88 2
48 12
46 4
43 7
235 1
216 1
90 2
192 1
50 7
64 5
83 1
230 1
99 1
177 1
168 2
321 1
39 4
55 3
28 23
193 1
247 1
196 2
261 1
222 2
150 2
244 1
221 2
77 3
194 1
160 1
165 1
21 8
210 1
167 1
220 1
148 1
143 3
204 1
140 3
164 3
68 4
149 3
157 1
145 1
146 2
163 1
178 1
183 1
158 1
153 1
166 1
161 1
81 2
74 5
47 1
49 1
70 3
65 6
73 3
87 1
80 6
45 1
78 6
