# Degré Fréquence
7 380
65 8
783 1
789 2
1256 1
236 1
683 1
240 1
33 43
20 95
13 196
38 38
9 309
8 327
2 813
0 767
11 245
4 542
10 281
5 440
35 51
51 13
24 75
15 169
25 73
220 1
17 152
28 67
27 52
14 173
19 110
1171 1
77 4
52 12
94 7
46 21
72 10
199 2
23 95
22 88
18 150
204 1
612 1
550 1
57 13
939 1
168 1
55 22
135 2
78 7
291 1
154 3
32 48
1006 1
16 130
517 1
61 11
80 7
165 1
12 205
79 5
76 7
31 54
3 646
217 2
270 2
34 42
251 1
1 993
523 1
66 8
56 19
26 53
101 1
83 5
6 427
60 11
944 1
48 20
47 16
114 1
429 1
29 59
128 2
50 14
71 6
42 33
41 37
415 1
36 32
45 25
88 7
268 1
89 7
85 8
69 9
37 28
58 9
40 34
104 4
74 5
59 8
44 17
21 109
30 45
195 2
62 9
142 3
322 1
469 1
471 1
218 1
209 1
96 3
107 5
198 1
53 18
185 2
92 5
241 2
100 3
87 6
276 1
103 3
43 21
136 3
90 1
172 2
132 2
98 2
352 1
242 1
105 5
84 7
81 7
304 2
318 1
123 1
39 36
208 1
202 1
68 10
155 1
778 1
308 1
147 1
161 2
255 1
99 3
75 9
118 1
250 1
238 1
151 2
67 3
97 1
111 2
317 1
229 1
54 7
115 2
108 3
299 1
91 3
245 1
237 1
189 1
181 2
267 1
272 1
93 5
119 1
188 1
254 1
95 4
129 1
453 1
216 1
86 5
221 1
282 1
122 4
176 1
112 3
113 1
330 1
49 10
144 1
348 1
333 1
64 8
82 4
133 1
145 1
120 1
183 1
106 2
73 5
63 8
116 1
70 6
102 2
166 1
234 1
201 1
284 1
296 1
157 1
121 1
127 1
378 1
187 1
225 1
110 1
616 1
203 1
152 1
